DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation
380.0,92.594,2.536,0.18,0.423,107396,0,4000
380.25,96.193,2.538,0.178,0.404,107396,0,4000
380.5,101.592,2.517,0.176,0.411,107396,0,4000
380.75,95.2,2.444,0.183,0.418,107396,0,4000
381.0,82.353,2.442,0.194,0.44,107396,0,4000
381.25,83.904,2.463,0.208,0.475,107396,0,4000
381.5,91.29,2.503,0.205,0.522,107396,0,4000
381.75,91.662,2.548,0.195,0.473,107396,0,4000
382.0,85.89,2.575,0.19,0.447,107396,0,4000
382.25,87.689,2.582,0.193,0.478,107396,0,4000
382.5,89.675,2.669,0.191,0.482,107396,0,4000
382.75,93.212,2.763,0.19,0.454,107396,0,4000
383.0,95.198,2.856,0.188,0.484,107396,0,4000
383.25,97.928,2.986,0.191,0.464,107396,0,4000
383.5,75.525,3.121,0.203,0.455,107396,0,4000
383.75,60.257,3.238,0.169,0.451,107396,0,4000
384.0,67.084,3.347,0.08,0.345,107396,0,4000
384.25,79.31,3.402,0.069,0.352,107396,0,4000
384.5,82.971,3.437,0.158,0.378,107396,0,4000
384.75,83.281,3.251,0.17,0.411,107396,0,4000
385.0,86.322,3.0,0.183,0.465,107396,0,4000
385.25,89.797,2.712,0.205,0.535,107396,0,4000
385.5,94.203,2.57,0.239,0.564,107396,0,4000
385.75,91.844,2.592,0.282,0.565,107396,0,4000
386.0,82.349,2.664,0.333,0.548,107396,0,4000
386.25,67.144,2.795,0.45,0.591,107396,0,4000
386.5,53.925,2.961,0.818,0.983,107396,0,4000
386.75,43.437,3.154,0.836,1.006,107396,0,4000
387.0,52.373,3.405,0.612,1.007,107396,0,4000
387.25,63.73,3.526,0.562,0.996,107396,0,4000
387.5,66.771,3.502,0.342,0.967,107396,0,4000
387.75,68.446,3.499,0.239,0.894,107396,0,4000
388.0,79.679,3.49,0.227,0.544,107396,0,4000
388.25,84.333,3.513,0.241,0.578,107396,0,4000
388.5,93.456,3.61,0.267,0.605,107396,0,4000
388.75,101.027,3.71,0.258,0.511,107396,0,4000
389.0,88.428,3.857,0.228,0.469,107396,0,4000
389.25,79.243,4.078,0.19,0.435,107396,0,4000
389.5,67.7,4.36,0.204,0.397,107396,0,4000
389.75,66.893,4.566,0.218,0.392,107396,0,4000
390.0,70.802,4.614,0.232,0.384,107396,0,4000
390.25,77.753,4.584,0.238,0.406,107396,0,4000
390.5,86.069,4.545,0.23,0.395,107396,0,4000
390.75,87.682,4.532,0.221,0.407,107396,0,4000
391.0,87.93,4.614,0.208,0.413,107396,0,4000
391.25,89.481,4.725,0.195,0.397,107396,0,4000
391.5,89.233,4.828,0.188,0.411,107396,0,4000
391.75,93.019,4.842,0.175,0.437,107396,0,4000
392.0,97.611,4.774,0.157,0.462,107396,0,4000
392.25,99.783,4.689,0.154,0.495,107396,0,4000
392.5,98.045,4.623,0.172,0.523,107396,0,4000
392.75,94.073,4.752,0.197,0.476,107396,0,4000
393.0,93.204,5.014,0.207,0.42,107396,0,4000
393.25,80.791,5.341,0.204,0.398,107396,0,4000
393.5,75.764,5.427,0.185,0.382,107396,0,4000
393.75,82.591,5.211,0.178,0.435,107396,0,4000
394.0,88.362,4.81,0.18,0.444,107396,0,4000
394.25,83.459,4.507,0.171,0.379,107396,0,4000
394.5,85.259,4.353,0.171,0.346,107396,0,4000
394.75,96.74,4.406,0.238,0.411,107396,0,4000
395.0,103.256,4.615,0.256,0.412,107396,0,4000
395.25,97.36,4.788,0.219,0.376,107396,0,4000
395.5,86.189,4.884,0.21,0.425,107396,0,4000
395.75,76.693,4.972,0.199,0.433,107396,0,4000
396.0,83.52,5.024,0.187,0.382,107396,0,4000
396.25,83.147,5.087,0.194,0.404,107396,0,4000
396.5,82.837,5.13,0.201,0.438,107396,0,4000
396.75,88.608,5.154,0.199,0.461,107396,0,4000
397.0,96.986,5.13,0.205,0.4,107396,0,4000
397.25,94.876,5.086,0.213,0.369,107396,0,4000
397.5,89.166,5.071,0.206,0.406,107396,0,4000
397.75,86.001,5.029,0.187,0.388,107396,0,4000
398.0,80.601,5.015,0.179,0.336,107396,0,4000
398.25,79.174,5.019,0.159,0.315,107396,0,4000
