DEPT,GR,ILD,DPHI,SitID,Pick,Formation
225.0,99.309,3.601,0.219,143346,0,7000
225.25,101.765,3.532,0.216,143346,0,7000
225.5,102.372,3.398,0.219,143346,0,7000
225.75,102.982,3.333,0.22,143346,0,7000
226.0,102.972,3.269,0.22,143346,0,7000
226.25,99.876,3.145,0.231,143346,0,7000
226.5,98.016,3.084,0.236,143346,0,7000
226.75,98.001,3.024,0.23,143346,0,7000
227.0,97.992,2.966,0.231,143346,0,7000
227.25,98.601,2.908,0.234,143346,0,7000
227.5,99.211,2.906,0.237,143346,0,7000
227.75,99.818,2.851,0.241,143346,0,7000
228.0,99.192,2.849,0.243,143346,0,7000
228.25,98.565,2.846,0.247,143346,0,7000
228.5,101.021,2.844,0.246,143346,0,7000
228.75,102.862,2.842,0.245,143346,0,7000
229.0,104.086,2.84,0.247,143346,0,7000
229.25,105.31,2.838,0.255,143346,0,7000
229.5,105.3,2.89,0.258,143346,0,7000
229.75,104.674,2.943,0.256,143346,0,7000
230.0,101.58,2.997,0.234,143346,0,7000
230.25,98.484,2.995,0.222,143346,0,7000
230.5,97.855,2.993,0.218,143346,0,7000
230.75,100.315,2.934,0.213,143346,0,7000
231.0,101.537,2.932,0.209,143346,0,7000
231.25,101.527,2.875,0.203,143346,0,7000
231.5,101.518,2.873,0.203,143346,0,7000
231.75,101.506,2.871,0.211,143346,0,7000
232.0,101.501,2.923,0.217,143346,0,7000
232.25,101.491,2.921,0.212,143346,0,7000
232.5,101.482,3.031,0.211,143346,0,7000
232.75,101.47,3.087,0.211,143346,0,7000
233.0,101.46,3.144,0.21,143346,0,7000
233.25,101.448,3.261,0.21,143346,0,7000
233.5,102.058,3.26,0.213,143346,0,7000
233.75,102.663,3.318,0.217,143346,0,7000
234.0,103.272,3.38,0.221,143346,0,7000
234.25,103.26,3.377,0.224,143346,0,7000
234.5,103.251,3.312,0.213,143346,0,7000
234.75,103.239,3.309,0.199,143346,0,7000
235.0,103.231,3.308,0.199,143346,0,7000
235.25,102.605,3.304,0.206,143346,0,7000
235.5,97.663,3.366,0.218,143346,0,7000
235.75,99.499,3.427,0.227,143346,0,7000
236.0,98.873,3.488,0.228,143346,0,7000
236.25,98.863,3.621,0.223,143346,0,7000
236.5,96.389,3.687,0.221,143346,0,7000
236.75,93.295,3.899,0.218,143346,0,7000
237.0,89.584,4.617,0.219,143346,0,7000
237.25,88.341,5.465,0.221,143346,0,7000
237.5,88.946,6.002,0.222,143346,0,7000
237.75,88.939,6.715,0.221,143346,0,7000
238.0,88.924,7.102,0.22,143346,0,7000
238.25,88.298,7.653,0.22,143346,0,7000
238.5,87.671,7.793,0.22,143346,0,7000
238.75,87.664,8.086,0.221,143346,0,7000
239.0,87.655,8.233,0.226,143346,0,7000
239.25,86.407,8.382,0.229,143346,0,7000
239.5,86.402,8.534,0.231,143346,0,7000
239.75,85.773,8.531,0.236,143346,0,7000
240.0,85.766,8.525,0.226,143346,0,7000
240.25,85.137,8.518,0.215,143346,0,7000
240.5,85.125,8.512,0.214,143346,0,7000
240.75,85.113,8.346,0.212,143346,0,7000
241.0,85.108,8.343,0.21,143346,0,7000
241.25,86.33,8.18,0.209,143346,0,7000
241.5,86.937,8.02,0.207,143346,0,7000
241.75,86.93,8.014,0.194,143346,0,7000
242.0,86.304,8.009,0.198,143346,0,7000
242.25,85.675,8.003,0.204,143346,0,7000
242.5,85.665,7.997,0.185,143346,0,7000
242.75,83.805,7.992,0.136,143346,0,7000
243.0,80.09,8.138,0.191,143346,0,7000
243.25,79.463,8.132,0.22,143346,0,7000
243.5,80.075,8.281,0.228,143346,0,7000
243.75,80.68,8.274,0.224,143346,0,7000
244.0,80.673,8.268,0.223,143346,0,7000
244.25,80.663,8.264,0.227,143346,0,7000
244.5,80.037,8.257,0.231,143346,0,7000
244.75,79.406,8.252,0.23,143346,0,7000
245.0,78.777,8.09,0.228,143346,0,7000
245.25,78.772,8.087,0.218,143346,0,7000
245.5,78.763,8.078,0.213,143346,0,7000
245.75,79.987,8.076,0.207,143346,0,7000
246.0,83.056,8.069,0.203,143346,0,7000
246.25,84.285,7.912,0.205,143346,0,7000
246.5,87.972,7.613,0.21,143346,0,7000
246.75,88.584,7.189,0.211,143346,0,7000
247.0,89.189,6.917,0.21,143346,0,7000
247.25,90.413,6.915,0.21,143346,0,7000
247.5,92.251,6.91,0.211,143346,0,7000
247.75,92.242,7.037,0.211,143346,0,7000
248.0,91.001,7.3,0.21,143346,0,7000
248.25,89.757,7.433,0.21,143346,0,7000
248.5,91.598,7.429,0.217,143346,0,7000
248.75,92.82,7.564,0.221,143346,0,7000
249.0,89.729,7.558,0.227,143346,0,7000
249.25,86.018,7.553,0.222,143346,0,7000
249.5,87.854,7.548,0.227,143346,0,7000
249.75,89.698,7.544,0.234,143346,0,7000
250.0,89.683,7.538,0.231,143346,0,7000
250.25,89.059,7.531,0.223,143346,0,7000
250.5,88.435,7.527,0.212,143346,0,7000
250.75,88.425,7.527,0.198,143346,0,7000
251.0,89.033,7.513,0.184,143346,0,7000
251.25,88.404,7.509,0.176,143346,0,7000
251.5,88.397,7.647,0.183,143346,0,7000
251.75,87.77,7.788,0.194,143346,0,7000
252.0,88.375,7.783,0.19,143346,0,7000
252.25,89.597,7.924,0.189,143346,0,7000
252.5,90.821,7.917,0.188,143346,0,7000
252.75,92.045,7.914,0.189,143346,0,7000
253.0,92.65,8.058,0.192,143346,0,7000
253.25,92.028,8.358,0.197,143346,0,7000
253.5,91.399,8.514,0.204,143346,0,7000
253.75,90.156,9.173,0.223,143346,0,7000
254.0,88.296,9.702,0.25,143346,0,7000
254.25,87.05,10.854,0.263,143346,0,7000
254.5,88.277,11.92,0.267,143346,0,7000
254.75,85.8,13.088,0.269,143346,0,7000
255.0,77.155,14.103,0.279,143346,0,7000
255.25,66.042,14.088,0.29,143346,0,7000
255.5,51.229,13.563,0.291,143346,0,7000
255.75,41.967,12.328,0.274,143346,0,7000
256.0,57.378,12.323,0.26,143346,0,7000
256.25,64.765,12.083,0.256,143346,0,7000
256.5,65.373,12.076,0.249,143346,0,7000
256.75,72.767,12.068,0.239,143346,0,7000
257.0,83.244,12.059,0.269,143346,0,7000
257.25,81.379,12.051,0.283,143346,0,7000
257.5,79.521,11.813,0.292,143346,0,7000
257.75,79.509,11.809,0.299,143346,0,7000
258.0,81.355,11.363,0.293,143346,0,7000
258.25,85.663,10.73,0.272,143346,0,7000
258.5,89.971,9.757,0.267,143346,0,7000
258.75,94.896,9.216,0.261,143346,0,7000
259.0,103.52,8.381,0.244,143346,0,7000
259.25,107.828,7.622,0.192,143346,0,7000
259.5,110.283,6.93,0.18,143346,0,7000
259.75,111.51,6.423,0.199,143346,0,7000
260.0,113.968,6.181,0.189,143346,0,7000
260.25,115.809,6.174,0.159,143346,0,7000
260.5,115.799,6.171,0.131,143346,0,7000
260.75,116.404,6.053,0.121,143346,0,7000
261.0,115.777,6.047,0.156,143346,0,7000
261.25,114.534,5.931,0.142,143346,0,7000
261.5,113.905,5.707,0.123,143346,0,7000
261.75,116.363,5.288,0.15,143346,0,7000
262.0,118.204,4.809,0.168,143346,0,7000
262.25,119.428,4.542,0.176,143346,0,7000
262.5,120.035,4.209,0.196,143346,0,7000
262.75,121.262,4.367,0.203,143346,0,7000
263.0,123.098,4.796,0.207,143346,0,7000
263.25,123.71,5.469,0.219,143346,0,7000
263.5,124.931,6.119,0.228,143346,0,7000
263.75,123.071,7.11,0.236,143346,0,7000
264.0,116.277,7.956,0.239,143346,0,7000
264.25,110.099,9.418,0.248,143346,0,7000
264.5,101.454,10.341,0.253,143346,0,7000
264.75,95.276,10.731,0.243,143346,0,7000
265.0,97.733,10.723,0.237,143346,0,7000
265.25,100.186,10.716,0.241,143346,0,7000
265.5,100.182,10.309,0.244,143346,0,7000
265.75,96.471,9.922,0.248,143346,0,7000
266.0,90.291,9.195,0.247,143346,0,7000
266.25,87.197,8.85,0.214,143346,0,7000
266.5,90.272,8.843,0.186,143346,0,7000
266.75,101.365,8.838,0.185,143346,0,7000
267.0,112.456,8.83,0.212,143346,0,7000
267.25,114.299,9.336,0.221,143346,0,7000
267.5,116.757,9.872,0.234,143346,0,7000
267.75,116.742,10.246,0.239,143346,0,7000
268.0,115.501,10.431,0.243,143346,0,7000
268.25,113.027,10.624,0.245,143346,0,7000
268.5,105.613,10.819,0.237,143346,0,7000
268.75,96.968,11.017,0.239,143346,0,7000
269.0,94.489,11.217,0.246,143346,0,7000
269.25,92.628,11.211,0.253,143346,0,7000
269.5,90.771,11.201,0.252,143346,0,7000
269.75,85.21,11.189,0.223,143346,0,7000
270.0,81.499,11.183,0.214,143346,0,7000
270.25,77.786,11.175,0.206,143346,0,7000
270.5,75.309,11.169,0.203,143346,0,7000
270.75,71.599,11.16,0.227,143346,0,7000
271.0,72.206,11.154,0.229,143346,0,7000
271.25,75.892,11.142,0.239,143346,0,7000
271.5,77.736,11.136,0.25,143346,0,7000
271.75,78.345,11.124,0.257,143346,0,7000
272.0,79.567,11.119,0.239,143346,0,7000
272.25,79.56,11.111,0.241,143346,0,7000
272.5,80.779,11.105,0.249,143346,0,7000
272.75,80.77,10.89,0.264,143346,0,7000
273.0,80.76,10.88,0.264,143346,0,7000
273.25,80.75,10.668,0.251,143346,0,7000
273.5,80.743,10.465,0.227,143346,0,7000
273.75,81.965,9.883,0.22,143346,0,7000
274.0,82.575,8.818,0.206,143346,0,7000
274.25,86.263,7.867,0.196,143346,0,7000
274.5,91.191,7.574,0.191,143346,0,7000
274.75,105.368,6.757,0.184,143346,0,7000
275.0,112.144,6.503,0.18,143346,0,7000
275.25,110.281,6.14,0.177,143346,0,7000
275.5,110.272,6.138,0.161,143346,0,7000
275.75,112.73,6.132,0.15,143346,0,7000
276.0,115.185,6.483,0.174,143346,0,7000
276.25,115.79,6.856,0.178,143346,0,7000
276.5,115.168,7.67,0.196,143346,0,7000
276.75,112.072,7.962,0.203,143346,0,7000
277.0,106.513,8.58,0.212,143346,0,7000
277.25,97.251,9.6,0.221,143346,0,7000
277.5,94.772,10.151,0.23,143346,0,7000
277.75,93.524,10.734,0.231,143346,0,7000
278.0,93.519,10.929,0.228,143346,0,7000
278.25,94.124,10.128,0.226,143346,0,7000
278.5,97.815,9.037,0.221,143346,0,7000
278.75,100.273,8.695,0.219,143346,0,7000
279.0,102.114,8.858,0.224,143346,0,7000
279.25,103.338,9.19,0.248,143346,0,7000
279.5,100.244,9.536,0.259,143346,0,7000
279.75,95.919,9.896,0.273,143346,0,7000
280.0,91.589,10.464,0.278,143346,0,7000
280.25,91.577,11.067,0.284,143346,0,7000
280.5,91.568,11.923,0.286,143346,0,7000
280.75,89.708,13.336,0.293,143346,0,7000
281.0,86.616,13.588,0.299,143346,0,7000
281.25,81.055,14.636,0.311,143346,0,7000
281.5,72.41,15.19,0.358,143346,0,7000
281.75,62.529,16.06,0.37,143346,0,7000
282.0,58.818,16.048,0.354,143346,0,7000
282.25,55.108,16.04,0.34,143346,0,7000
282.5,53.864,15.148,0.339,143346,0,7000
282.75,52.619,14.577,0.336,143346,0,7000
283.0,52.612,14.025,0.331,143346,0,7000
283.25,51.985,14.018,0.325,143346,0,7000
283.5,51.356,14.815,0.32,143346,0,7000
283.75,51.349,15.669,0.325,143346,0,7000
284.0,53.188,16.881,0.328,143346,0,7000
284.25,55.026,17.523,0.332,143346,0,7000
284.5,55.636,18.529,0.333,143346,0,7000
284.75,56.243,19.963,0.335,143346,0,7000
285.0,54.998,20.332,0.335,143346,0,7000
285.25,54.373,20.704,0.336,143346,0,7000
285.5,53.747,20.686,0.338,143346,0,7000
285.75,54.971,20.668,0.34,143346,0,7000
286.0,56.195,20.271,0.342,143346,0,7000
286.25,57.414,20.257,0.341,143346,0,7000
286.5,58.022,20.239,0.341,143346,0,7000
286.75,58.012,20.229,0.341,143346,0,7000
287.0,56.15,20.599,0.341,143346,0,7000
287.25,54.909,20.973,0.341,143346,0,7000
287.5,53.668,20.958,0.34,143346,0,7000
287.75,53.039,21.338,0.342,143346,0,7000
288.0,53.646,21.33,0.342,143346,0,7000
288.25,54.873,21.312,0.342,143346,0,7000
288.5,55.475,21.702,0.342,143346,0,7000
288.75,55.466,21.687,0.345,143346,0,7000
289.0,55.456,21.267,0.348,143346,0,7000
289.25,55.449,20.848,0.35,143346,0,7000
289.5,56.668,20.448,0.349,143346,0,7000
289.75,57.895,20.055,0.322,143346,0,7000
290.0,58.502,20.031,0.307,143346,0,7000
290.25,57.878,20.02,0.308,143346,0,7000
290.5,54.779,20.394,0.335,143346,0,7000
290.75,53.538,20.372,0.339,143346,0,7000
291.0,53.524,19.978,0.355,143346,0,7000
291.25,53.517,19.961,0.352,143346,0,7000
291.5,53.51,19.95,0.344,143346,0,7000
291.75,52.266,19.94,0.339,143346,0,7000
292.0,51.64,19.55,0.335,143346,0,7000
292.25,50.397,19.168,0.339,143346,0,7000
292.5,50.385,18.8,0.345,143346,0,7000
292.75,53.457,18.44,0.35,143346,0,7000
293.0,54.686,18.076,0.351,143346,0,7000
293.25,57.139,17.723,0.351,143346,0,7000
293.5,58.979,17.717,0.349,143346,0,7000
293.75,60.206,17.047,0.346,143346,0,7000
294.0,60.194,17.032,0.343,143346,0,7000
294.25,57.717,17.026,0.338,143346,0,7000
294.5,55.857,16.693,0.334,143346,0,7000
294.75,54.616,16.685,0.331,143346,0,7000
295.0,53.373,16.667,0.326,143346,0,7000
295.25,52.744,16.658,0.321,143346,0,7000
295.5,53.351,16.644,0.317,143346,0,7000
295.75,53.958,16.632,0.312,143346,0,7000
296.0,55.182,17.256,0.31,143346,0,7000
296.25,55.787,17.912,0.314,143346,0,7000
296.5,56.395,19.668,0.319,143346,0,7000
296.75,55.151,22.008,0.325,143346,0,7000
297.0,52.677,26.058,0.335,143346,0,7000
297.25,48.349,30.853,0.343,143346,0,7000
297.5,41.555,33.872,0.3,143346,0,7000
297.75,39.075,31.988,0.255,143346,0,7000
298.0,44.0,29.096,0.217,143346,0,7000
298.25,47.687,24.076,0.18,143346,0,7000
298.5,49.53,19.927,0.211,143346,0,7000
298.75,50.14,17.777,0.253,143346,0,7000
299.0,51.976,17.771,0.332,143346,0,7000
299.25,51.969,17.099,0.329,143346,0,7000
299.5,52.576,17.09,0.326,143346,0,7000
299.75,52.569,17.078,0.324,143346,0,7000
300.0,53.174,17.063,0.33,143346,0,7000
300.25,53.162,17.045,0.338,143346,0,7000
300.5,53.152,16.718,0.345,143346,0,7000
300.75,53.145,16.7,0.345,143346,0,7000
301.0,52.519,16.697,0.345,143346,0,7000
301.25,52.507,16.374,0.345,143346,0,7000
301.5,52.497,16.363,0.342,143346,0,7000
301.75,52.49,16.04,0.337,143346,0,7000
302.0,53.097,16.032,0.334,143346,0,7000
302.25,53.704,16.015,0.33,143346,0,7000
302.5,54.309,16.006,0.333,143346,0,7000
302.75,54.914,15.699,0.336,143346,0,7000
303.0,54.907,15.686,0.338,143346,0,7000
303.25,54.892,15.675,0.335,143346,0,7000
303.5,54.887,15.666,0.335,143346,0,7000
303.75,54.873,15.95,0.335,143346,0,7000
304.0,54.866,16.245,0.336,143346,0,7000
304.25,54.854,16.855,0.338,143346,0,7000
304.5,54.849,17.819,0.34,143346,0,7000
304.75,55.452,19.204,0.341,143346,0,7000
305.0,55.444,21.087,0.339,143346,0,7000
305.25,55.435,24.959,0.329,143346,0,7000
305.5,55.423,25.909,0.313,143346,0,7000
305.75,54.796,27.397,0.273,143346,0,7000
306.0,53.555,26.365,0.203,143346,0,7000
306.25,49.843,23.525,0.084,143346,0,7000
306.5,50.452,22.22,0.044,143346,0,7000
306.75,53.524,19.093,0.084,143346,0,7000
307.0,54.751,16.41,0.11,143346,0,7000
307.25,56.587,14.369,0.134,143346,0,7000
307.5,56.577,14.091,0.327,143346,0,7000
307.75,57.799,13.82,0.328,143346,0,7000
308.0,58.411,13.811,0.332,143346,0,7000
308.25,59.018,13.801,0.337,143346,0,7000
308.5,59.004,13.791,0.337,143346,0,7000
308.75,59.613,13.777,0.333,143346,0,7000
309.0,60.218,13.77,0.331,143346,0,7000
309.25,60.83,14.017,0.33,143346,0,7000
309.5,62.05,14.007,0.33,143346,0,7000
309.75,62.042,13.741,0.326,143346,0,7000
310.0,62.033,13.731,0.319,143346,0,7000
310.25,62.64,13.463,0.32,143346,0,7000
310.5,62.628,13.453,0.328,143346,0,7000
310.75,62.616,13.441,0.336,143346,0,7000
311.0,62.611,13.434,0.333,143346,0,7000
311.25,61.982,13.425,0.326,143346,0,7000
311.5,61.975,13.926,0.325,143346,0,7000
311.75,61.346,13.919,0.325,143346,0,7000
312.0,61.951,14.176,0.322,143346,0,7000
312.25,62.561,14.164,0.321,143346,0,7000
312.5,64.399,14.156,0.32,143346,0,7000
312.75,65.009,13.877,0.32,143346,0,7000
313.0,66.231,13.872,0.323,143346,0,7000
313.25,66.221,13.863,0.324,143346,0,7000
313.5,65.597,13.592,0.324,143346,0,7000
