DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation,VSH,RESD
85.0,60.81,29.721,0.412,0.475,117235,0,9000,0.2021202519689941,3.39185420312138
85.25,60.271,29.241,0.415,0.473,117235,0,9000,0.1955523032057168,3.3755721760086925
85.5,59.773,29.862,0.416,0.476,117235,0,9000,0.18948395722406172,3.3965871039781685
85.75,60.456,30.449,0.411,0.468,117235,0,9000,0.1978066084398658,3.4160534813120984
86.0,62.362,31.658,0.401,0.464,117235,0,9000,0.22103204506844937,3.4549911971394205
86.25,63.646,31.725,0.388,0.467,117235,0,9000,0.23667814193681314,3.4571053288092277
86.5,65.531,31.808,0.372,0.48,117235,0,9000,0.2596476844577366,3.459718144860432
86.75,65.013,32.468,0.357,0.499,117235,0,9000,0.25333562980211943,3.480255296894447
87.0,63.292,34.384,0.315,0.524,117235,0,9000,0.2323644984076848,3.537591630733058
87.25,59.788,36.413,0.291,0.536,117235,0,9000,0.18966673872953319,3.594926128366664
87.5,58.047,41.554,0.203,0.439,117235,0,9000,0.16845189866113652,3.726994026873285
87.75,55.103,43.96,0.098,0.379,117235,0,9000,0.13257798185392247,3.7832803570149216
88.0,52.801,50.139,0.12,0.344,117235,0,9000,0.10452711348089025,3.9147993478204195
88.25,55.889,55.09,0.147,0.363,117235,0,9000,0.14215573274063115,4.008968393005756
88.5,58.977,46.775,0.184,0.385,117235,0,9000,0.17978435200037196,3.845349085949548
88.75,61.442,37.581,0.207,0.414,117235,0,9000,0.20982144606619496,3.6264988696220373
89.0,63.97,33.123,0.211,0.454,117235,0,9000,0.24062622245499835,3.500228207030085
89.25,63.451,32.604,0.232,0.471,117235,0,9000,0.23430198236568311,3.484435286942997
89.5,62.331,32.655,0.255,0.479,117235,0,9000,0.2206542966238082,3.4859982895863912
89.75,61.211,32.127,0.294,0.484,117235,0,9000,0.20700661088193323,3.469697109351468
90.0,60.672,31.59,0.39,0.488,117235,0,9000,0.2004386621186559,3.4528409313698156
90.25,60.174,31.079,0.392,0.492,117235,0,9000,0.19437031613700081,3.4365326717102667
90.5,60.235,30.034,0.392,0.498,117235,0,9000,0.19511362759258508,3.4023304062140167
90.75,60.939,26.949,0.392,0.494,117235,0,9000,0.20369217291604932,3.2939465619863935
91.0,63.426,22.87,0.389,0.486,117235,0,9000,0.23399734652323056,3.129826445288639
91.25,65.29,19.768,0.385,0.48,117235,0,9000,0.2567109949364939,2.9840649745542507
91.5,70.222,12.97,0.382,0.469,117235,0,9000,0.31680955393553584,2.5626397693380785
91.75,72.688,11.012,0.357,0.472,117235,0,9000,0.346858833435057,2.398986495380203
92.0,78.18,9.706,0.324,0.482,117235,0,9000,0.41378123530503663,2.2727452812730355
92.25,88.501,14.848,0.31,0.501,117235,0,9000,0.5395470965031537,2.697865849534997
92.5,88.583,17.897,0.319,0.521,117235,0,9000,0.5405463020663981,2.8846336597879785
92.75,82.655,20.402,0.342,0.557,117235,0,9000,0.4683110511040458,3.015633425408232
93.0,73.12,24.591,0.359,0.534,117235,0,9000,0.3521229407926374,3.202380928991761
93.25,67.171,27.536,0.38,0.476,117235,0,9000,0.2796317957226249,3.3154946026300705
93.5,61.242,30.834,0.38,0.466,117235,0,9000,0.2073843593265744,3.428618301555407
93.75,57.117,32.041,0.377,0.467,117235,0,9000,0.15711944532190109,3.467016644799446
94.0,55.396,32.723,0.376,0.47,117235,0,9000,0.13614831392746654,3.4880785001685175
94.25,54.898,32.774,0.377,0.467,117235,0,9000,0.13007996794581145,3.489635823243898
94.5,54.96,33.471,0.383,0.464,117235,0,9000,0.13083546483509378,3.510679691045204
94.75,54.441,33.524,0.385,0.461,117235,0,9000,0.12451122474577855,3.512261898530375
95.0,54.523,34.892,0.385,0.464,117235,0,9000,0.12551043030902298,3.5522578631695785
95.25,54.626,34.965,0.385,0.47,117235,0,9000,0.1267655299799275,3.5543478471560754
95.5,54.708,35.02,0.385,0.482,117235,0,9000,0.12776473554317191,3.555919612408779
