Dept,SitID,Dept,LithID,W_Tar,SW,VSH,PHI,RW,Pick,Formation
280.0,142704,280,5,0.0,1.0,0.8,0.074,  0.6330,0,7000
280.25,142704,280,5,0.0,1.0,0.817,0.068,  0.6330,0,7000
280.5,142704,280,5,0.0,1.0,0.883,0.043,  0.6330,0,7000
280.75,142704,280,5,0.0,1.0,0.867,0.049,  0.6330,0,7000
281.0,142704,281,5,0.0,1.0,0.851,0.055,  0.6330,0,7000
281.25,142704,281,5,0.0,1.0,0.901,0.037,  0.6330,0,7000
281.5,142704,281,5,0.0,1.0,0.934,0.024,  0.6330,0,7000
281.75,142704,281,5,0.0,1.0,0.935,0.024,  0.6330,0,7000
282.0,142704,282,5,0.0,1.0,1.0,0.0,  0.6330,0,7000
282.25,142704,282,5,0.0,1.0,1.0,0.0,  0.6330,0,7000
282.5,142704,282,5,0.0,1.0,1.0,0.0,  0.6330,0,7000
282.75,142704,282,5,0.0,1.0,1.0,0.0,  0.6320,0,7000
283.0,142704,283,5,0.0,1.0,1.0,0.0,  0.6320,0,7000
283.25,142704,283,5,0.0,1.0,1.0,0.0,  0.6320,0,7000
283.5,142704,283,5,0.0,1.0,1.0,0.0,  0.6320,0,7000
283.75,142704,283,5,0.0,1.0,1.0,0.0,  0.6320,0,7000
284.0,142704,284,5,0.0,1.0,0.971,0.011,  0.6320,0,7000
284.25,142704,284,5,0.0,1.0,0.972,0.01,  0.6320,0,7000
284.5,142704,284,5,0.0,1.0,0.724,0.102,  0.6320,0,7000
284.75,142704,284,5,0.0,1.0,0.708,0.108,  0.6320,0,7000
285.0,142704,285,5,0.0,1.0,0.824,0.065,  0.6320,0,7000
285.25,142704,285,5,0.0,1.0,0.973,0.01,  0.6310,0,7000
285.5,142704,285,5,0.0,1.0,0.924,0.028,  0.6310,0,7000
285.75,142704,285,4,0.004,0.941,0.578,0.156,  0.6310,0,7000
286.0,142704,286,4,0.009,0.883,0.545,0.168,  0.6310,0,7000
286.25,142704,286,2,0.026,0.773,0.331,0.248,  0.6310,0,7000
286.5,142704,286,1,0.035,0.758,0.1,0.307,  0.6310,0,7000
286.75,142704,286,1,0.03,0.776,0.117,0.289,  0.6310,0,7000
287.0,142704,287,2,0.024,0.78,0.332,0.231,  0.6310,0,7000
287.25,142704,287,2,0.023,0.772,0.415,0.216,  0.6310,0,7000
287.5,142704,287,4,0.012,0.842,0.564,0.161,  0.6310,0,7000
287.75,142704,287,5,0.0,1.0,0.746,0.094,  0.6300,0,7000
288.0,142704,288,4,0.001,0.979,0.681,0.118,  0.6300,0,7000
288.25,142704,288,5,0.0,1.0,0.797,0.075,  0.6300,0,7000
288.5,142704,288,5,0.0,1.0,0.995,0.002,  0.6300,0,7000
288.75,142704,288,5,0.0,1.0,0.996,0.002,  0.6300,0,7000
289.0,142704,289,5,0.0,1.0,0.781,0.081,  0.6300,0,7000
289.25,142704,289,5,0.002,0.954,0.732,0.099,  0.6300,0,7000
289.5,142704,289,5,0.002,0.954,0.766,0.087,  0.6300,0,7000
289.75,142704,289,5,0.002,0.954,0.766,0.087,  0.6300,0,7000
290.0,142704,290,4,0.005,0.911,0.684,0.117,  0.6300,0,7000
290.25,142704,290,5,0.0,1.0,0.817,0.068,  0.6300,0,7000
290.5,142704,290,5,0.0,1.0,0.883,0.043,  0.6290,0,7000
290.75,142704,290,5,0.0,1.0,0.85,0.055,  0.6290,0,7000
291.0,142704,291,5,0.0,1.0,0.752,0.092,  0.6290,0,7000
291.25,142704,291,5,0.0,0.997,0.719,0.096,  0.6290,0,7000
291.5,142704,291,5,0.003,0.933,0.72,0.104,  0.6290,0,7000
291.75,142704,291,5,0.0,1.0,0.803,0.068,  0.6290,0,7000
292.0,142704,292,5,0.0,1.0,0.819,0.067,  0.6290,0,7000
292.25,142704,292,5,0.0,0.996,0.787,0.079,  0.6290,0,7000
292.5,142704,292,5,0.003,0.935,0.705,0.109,  0.6290,0,7000
292.75,142704,292,4,0.008,0.88,0.606,0.146,  0.6290,0,7000
293.0,142704,293,4,0.011,0.86,0.54,0.17,  0.6280,0,7000
293.25,142704,293,4,0.007,0.905,0.574,0.158,  0.6280,0,7000
293.5,142704,293,5,0.0,1.0,0.739,0.096,  0.6280,0,7000
293.75,142704,293,5,0.0,1.0,0.888,0.041,  0.6280,0,7000
294.0,142704,294,5,0.0,1.0,0.922,0.029,  0.6280,0,7000
294.25,142704,294,5,0.0,1.0,0.724,0.102,  0.6280,0,7000
294.5,142704,294,4,0.0,1.0,0.658,0.126,  0.6280,0,7000
294.75,142704,294,4,0.0,1.0,0.659,0.126,  0.6280,0,7000
295.0,142704,295,4,0.0,1.0,0.659,0.126,  0.6280,0,7000
295.25,142704,295,4,0.0,1.0,0.643,0.132,  0.6280,0,7000
295.5,142704,295,4,0.0,1.0,0.545,0.169,  0.6280,0,7000
295.75,142704,295,4,0.0,1.0,0.512,0.181,  0.6270,0,7000
296.0,142704,296,4,0.0,1.0,0.529,0.174,  0.6270,0,7000
296.25,142704,296,4,0.0,1.0,0.562,0.162,  0.6270,0,7000
296.5,142704,296,4,0.0,1.0,0.645,0.131,  0.6270,0,7000
296.75,142704,296,4,0.0,1.0,0.695,0.113,  0.6270,0,7000
297.0,142704,297,4,0.0,1.0,0.679,0.119,  0.6270,0,7000
297.25,142704,297,4,0.0,1.0,0.696,0.112,  0.6270,0,7000
297.5,142704,297,5,0.0,1.0,0.713,0.106,  0.6270,1,7000
297.75,142704,297,4,0.0,1.0,0.68,0.118,  0.6270,0,7000
298.0,142704,298,5,0.0,1.0,0.747,0.094,  0.6270,0,7000
298.25,142704,298,5,0.0,1.0,0.813,0.069,  0.6260,0,7000
298.5,142704,298,5,0.0,1.0,0.731,0.099,  0.6260,0,7000
298.75,142704,298,4,0.0,1.0,0.649,0.13,  0.6260,0,7000
299.0,142704,299,4,0.0,1.0,0.616,0.139,  0.6260,0,7000
299.25,142704,299,4,0.0,1.0,0.567,0.154,  0.6260,0,7000
299.5,142704,299,4,0.0,1.0,0.634,0.136,  0.6260,0,7000
299.75,142704,299,5,0.0,1.0,0.75,0.093,  0.6260,0,7000
300.0,142704,300,5,0.0,1.0,1.0,0.0,  0.6260,0,7000
300.25,142704,300,5,0.0,1.0,1.0,0.0,  0.6260,0,7000
300.5,142704,300,5,0.0,1.0,0.821,0.066,  0.6260,0,7000
300.75,142704,300,5,0.0,1.0,0.755,0.091,  0.6260,0,7000
301.0,142704,301,5,0.0,1.0,0.788,0.079,  0.6250,0,7000
301.25,142704,301,5,0.0,1.0,0.886,0.042,  0.6250,0,7000
301.5,142704,301,5,0.0,1.0,0.984,0.006,  0.6250,0,7000
301.75,142704,301,5,0.0,1.0,1.0,0.0,  0.6250,0,7000
302.0,142704,302,5,0.0,1.0,1.0,0.0,  0.6250,0,7000
302.25,142704,302,5,0.0,1.0,0.917,0.031,  0.6250,0,7000
302.5,142704,302,5,0.0,1.0,0.917,0.031,  0.6250,0,7000
302.75,142704,302,5,0.0,1.0,0.933,0.025,  0.6250,0,7000
303.0,142704,303,5,0.0,1.0,0.867,0.049,  0.6250,0,7000
303.25,142704,303,5,0.0,1.0,0.834,0.061,  0.6250,0,7000
