DEPT,GR,ILD,DPHI,SitID,Pick
40.0,74.068,33.466,0.292,116437,0
40.3,67.893,23.26,0.212,116437,0
40.6,64.198,19.567,0.187,116437,0
40.9,62.364,21.512,0.189,116437,0
41.2,64.901,30.901,0.177,116437,0
41.5,67.426,20.279,0.182,116437,0
41.8,69.332,16.74,0.212,116437,0
42.1,68.141,15.497,0.21,116437,0
42.4,64.435,18.04,0.288,116437,0
42.7,57.005,19.833,0.405,116437,0
43.0,54.559,18.709,0.403,116437,0
43.3,59.594,17.656,0.328,116437,0
43.6,63.981,16.98,0.326,116437,0
43.9,68.991,16.019,0.315,116437,0
44.2,70.28,15.701,0.25,116437,0
44.5,67.835,15.993,0.242,116437,0
44.8,66.64,16.922,0.236,116437,0
45.1,66.683,18.964,0.239,116437,0
45.4,64.85,18.587,0.29,116437,0
45.7,59.287,15.639,0.394,116437,0
46.0,56.204,14.753,0.475,116437,0
46.3,62.48,11.722,0.541,116437,0
46.6,67.495,8.795,0.296,116437,0
46.9,68.163,7.259,0.238,116437,0
47.2,68.196,6.225,0.225,116437,0
47.5,77.574,5.874,0.264,116437,0
47.8,83.846,5.649,0.284,116437,0
48.1,85.122,5.643,0.293,116437,0
48.4,82.063,5.858,0.278,116437,0
48.7,82.721,6.081,0.288,116437,0
49.0,84.004,5.963,0.297,116437,0
49.3,82.802,5.112,0.286,116437,0
49.6,84.079,4.733,0.268,116437,0
49.9,85.988,4.466,0.28,116437,0
50.2,86.034,5.504,0.288,116437,0
50.5,85.444,6.052,0.279,116437,0
50.8,84.243,5.933,0.279,116437,0
51.1,85.533,4.713,0.275,116437,0
51.4,87.433,4.447,0.261,116437,0
51.7,88.1,4.359,0.251,116437,0
52.0,86.891,4.44,0.255,116437,0
52.3,88.818,4.789,0.269,116437,0
52.6,88.225,4.693,0.281,116437,0
52.9,86.403,5.259,0.291,116437,0
53.2,87.061,5.893,0.267,116437,0
53.5,85.853,6.477,0.273,116437,0
53.8,80.916,6.727,0.289,116437,0
54.1,77.842,6.983,0.286,116437,0
54.4,77.278,6.588,0.278,116437,0
54.7,77.307,6.335,0.279,116437,0
55.0,79.21,6.093,0.273,116437,0
55.3,81.738,5.326,0.274,116437,0
55.6,81.162,4.312,0.264,116437,0
55.9,79.328,3.769,0.27,116437,0
56.2,78.136,3.424,0.301,116437,0
56.5,81.913,3.169,0.331,116437,0
56.8,83.805,3.107,0.343,116437,0
57.1,83.845,3.104,0.317,116437,0
57.4,82.02,3.161,0.312,116437,0
57.7,84.556,3.345,0.331,116437,0
58.0,85.221,3.82,0.318,116437,0
58.3,84.015,4.71,0.307,116437,1
58.6,81.565,6.767,0.334,116437,0
58.9,77.874,9.904,0.301,116437,0
59.2,75.421,10.285,0.269,116437,0
