DEPT,GR,ILD,DPHI,SitID,Pick
220.0,96.481,2.29,0.278,113889,0
220.25,94.397,2.237,0.272,113889,0
220.5,89.366,2.304,0.248,113889,0
220.75,87.715,2.311,0.179,113889,0
221.0,88.263,2.3,0.18,113889,0
221.25,92.251,2.252,0.221,113889,0
221.5,93.928,2.216,0.26,113889,0
221.75,97.729,2.244,0.267,113889,0
222.0,99.403,2.289,0.269,113889,0
222.25,99.507,2.375,0.263,113889,0
222.5,99.242,2.482,0.254,113889,0
222.75,93.648,2.49,0.256,113889,0
223.0,90.808,2.432,0.263,113889,0
223.25,90.916,2.538,0.271,113889,0
223.5,99.481,2.663,0.268,113889,0
223.75,102.783,2.774,0.258,113889,0
224.0,103.952,2.84,0.245,113889,0
224.25,101.619,2.881,0.249,113889,0
224.5,107.236,2.884,0.253,113889,0
224.75,110.351,2.755,0.252,113889,0
225.0,111.273,2.601,0.25,113889,0
225.25,104.928,2.48,0.249,113889,0
225.5,106.158,2.427,0.252,113889,0
225.75,100.254,2.58,0.252,113889,0
226.0,88.332,3.049,0.254,113889,0
226.25,80.044,3.636,0.264,113889,0
226.5,69.249,4.444,0.285,113889,1
226.75,62.59,5.009,0.294,113889,0
227.0,57.62,6.008,0.281,113889,0
227.25,50.961,10.018,0.262,113889,0
227.5,44.177,16.088,0.231,113889,0
227.75,41.901,21.12,0.277,113889,0
228.0,42.261,22.541,0.326,113889,0
228.25,42.681,22.609,0.354,113889,0
228.5,43.221,22.978,0.339,113889,0
228.75,43.581,23.886,0.33,113889,0
229.0,42.498,25.446,0.33,113889,0
229.25,41.103,27.776,0.344,113889,0
229.5,39.768,30.496,0.355,113889,0
229.75,39.061,33.349,0.354,113889,0
230.0,41.231,35.396,0.351,113889,0
230.25,42.719,35.902,0.346,113889,0
230.5,43.014,35.406,0.342,113889,0
230.75,44.626,33.943,0.353,113889,0
231.0,45.985,32.417,0.372,113889,0
231.25,48.347,34.336,0.39,113889,0
231.5,48.827,35.698,0.393,113889,0
231.75,46.682,35.798,0.376,113889,0
232.0,48.665,36.386,0.368,113889,0
232.25,49.838,36.91,0.357,113889,0
232.5,49.571,36.188,0.352,113889,0
232.75,48.612,34.563,0.348,113889,0
233.0,44.584,35.591,0.342,113889,0
233.25,43.938,38.781,0.335,113889,0
233.5,45.926,42.576,0.343,113889,0
233.75,45.906,44.676,0.358,113889,0
234.0,46.384,45.065,0.365,113889,0
234.25,49.003,43.039,0.365,113889,0
234.5,50.3,41.971,0.36,113889,0
234.75,50.593,41.229,0.354,113889,0
235.0,48.258,40.35,0.351,113889,0
235.25,47.175,38.25,0.345,113889,0
235.5,47.156,36.052,0.342,113889,0
235.75,48.39,33.724,0.349,113889,0
236.0,49.247,31.728,0.359,113889,0
236.25,49.607,34.445,0.363,113889,0
236.5,49.086,36.968,0.36,113889,0
236.75,47.501,37.012,0.359,113889,0
237.0,44.601,36.083,0.362,113889,0
237.25,44.645,34.012,0.355,113889,0
237.5,46.381,33.044,0.352,113889,0
237.75,46.613,35.462,0.354,113889,0
238.0,46.405,40.122,0.361,113889,0
238.25,45.573,41.243,0.365,113889,0
238.5,42.607,39.908,0.357,113889,0
238.75,44.467,36.704,0.351,113889,0
239.0,46.394,32.028,0.349,113889,0
239.25,49.758,27.374,0.33,113889,0
239.5,48.363,24.475,0.317,113889,0
239.75,50.593,21.843,0.323,113889,0
240.0,52.712,25.186,0.336,113889,0
240.25,56.389,27.445,0.351,113889,0
240.5,53.802,29.014,0.364,113889,0
240.75,48.02,32.215,0.375,113889,0
241.0,47.375,36.724,0.373,113889,0
241.25,47.6,41.313,0.375,113889,0
241.5,49.781,45.525,0.376,113889,0
